context,question,answerA,answerB,answerC,label
Kai was in high school and was taking French as an elective. Kai learned French.,Why did Kai do this?,have credit,know grammatical concepts,go to France,2
"Jesse wanted to flunk Bailey for her bad behavior, but Bailey passed Jesse's examination.",What will Bailey want to do next?,complain,celebrate,Study for the test,2
Tracy went camping during the weekend for the first time in their life.,What does Tracy need to do before this?,find their old camping supplies,go buy camping supplies,wash their old sleeping bag,2
Robin was playing soccer and played for a long time.,Why did Robin do this?,buy a soccer ball,learn the rules of the game,were having fun,3
Austin challenged Remy to a game of tennis at the city park on Saturday.,How would Remy feel as a result?,mad to be invited,happy to play tennis,upset about the park,2
Skylar ate too much sweets and chocolate and drank too much sugary juice and the dentist told her she had a cavity.,How would you describe Skylar?,only eats sugar free foods,disgusted,has a sweet tooth,3
Austin took them out for dinner and the others were pleased when he told them to pick something off of the dessert menu.,What will happen to Others?,The others will order dessert,The others will close their menue,smiles,1
Addison was at a party with friends but knew they had to get up early in the morning for work so Addison said their goodbyes then left for home.,What will Addison want to do next?,go to work,get ready for bed,dance or fly home,2
robin changed aubrey's clothes before the event so that aubrey would look nice in front of the crowd.,What will happen to Aubrey?,be noticed,she will be proud of robin,she will tell robin she loves her,1
Ash threw up their arms and just finally gave up on Sasha and her attitude.,What will happen to Sasha?,abandoned,look to spend time with Ash,get away from Sasha,1
Alex had been caught up in many crimes so one day Alex escaped to Mexico.,What will Others want to do next?,avoid getting caught,try to arrest Alex,get away from trouble,1
Jesse and Addison started dating.  Addison invited Jesse on a camping trip with their friends.,What does Jesse need to do before this?,meet and speak with her friends,pack for camping,ignore Addison,1
Kendall went home with Jan's friends after the movie was over.,How would you describe Kendall?,like he has a good social group,tired,thankful for the socialization,1
"Jan had been on vacation in Hawaii for a week. Last night, she finally returned home.",What will Jan want to do next?,return to her family,Return to work,Leave for another vacation,2
Jesse set Robin's house on fire when Robin would not run away with him.,What will happen to Jesse?,be loved by Robin,call the fire department,be sent to jail,3
Robin has the power to fire anybody working on their team.,How would Others feel as a result?,in command,powerful,exposed,3
Riley bought a dog and he played with the dog for hours.,What will Riley want to do next?,want a dog,find a good dog,joy,3
Tracy crossed the rubicon because they wanted to cross it and be the best.,What does Tracy need to do before this?,need to be the best,keep working even if they fail,need to be the worst,2
"Since Kai was feeling confused while trying to present problems in front of the class, Kai makes things up as they go along.",How would Kai feel afterwards?,somewhat jealous and angry,somewhat insecure and confused,disoriented,2
Bailey was a fast learner.,How would you describe Bailey?,happy at having learned so fast,proud at having learned so fast,Knowledge-seeking,3
Jordan taught art in schools for a living as an art teacher.,What will Jordan want to do next?,harm others,lie to others,teach others,3
Riley regarded Jesse with watchful eyes when she saw him steal from her store.,What will Riley want to do next?,express regret next,threaten Riley,run,2
Alex stole money from the children to pay for his drugs.,What will happen to Alex?,ale who has take a drugs,he will have to pay back what he stole,he will go to jail for giving them money,2
Jordan made a cup of coffee even though his boss asked him not to drink it.,How would you describe Jordan?,rebellious,calmed down,helpful,1
Carson was trying to work a crossword puzzle and could not solve it; he was frustrated.,What does Carson need to do before this?,eat some vegetables,lay down,make sure he had all the puzzle pieces,3
Quinn said a word to Casey that made him feel a lot better.,What will Quinn want to do next?,learn about Casey's predicament,fight Casey,continue talking to Casey,3
Sydney played Kendall's heart when she pretended to be interested in him at the party.,What will happen to Kendall?,be angry at Sydney,be excited,date Sydney,1
Carson took pictures of all of the children at the birthday party.,How would the parents feel as a result?,made about all of the pictures,angry about what Carson did,happy to have the souvenir,3
Aubrey sounded good talking after months of taking speech therapy at her school.,How would Others feel as a result of this?,improved from practice,proud of Aubrey,disappointed in Aubrey,2
Carson wanted to travel to Jesse so he got into the car.,What will Carson want to do next?,have a vacation,forget about Jesse,stay home,1
Riley had just got home from the grocery store. Riley went and made chicken in the kitchen.,Why did Riley do this?,wanted to eat something,eat his dinner,eat in the kitchen,1
"Robin changed Aubrey into clean clothes, so they can both go to the big play.",What will Robin want to do next?,wash the dirty laundry,find clean clothes to wear,entertained,1
Sydney was trying to get the kitchen mopped but Austin interfered by walking in the kitchen repeatedly.,How would you describe Austin?,Flippant,angry that Austin keep walking on the floor,frustrated with Austin,1
Cameron pushed Carson so hard that it shook their head back and forth.,What will Cameron want to do next?,walk up to Carson,ok,apologize for being to careful,1
Tracy just got her driver's license and a new car. Tracy was driving to school now.,What does Tracy need to do before this?,pass her driver's test,get to school,get to class,1
Austin moved his body to the music when the band began playing again.,How would Austin feel afterwards?,playing,angry at the band,peaceful and happy,3
Aubrey was playing in the mud and got her new shirt dirty.,What will Aubrey want to do next?,keep her shirt clean,put the shirt in the washing machine,put her pants in the washer,2
Jordan was going for a walk and brought the kids.,What does Jordan need to do before this?,get the kids ready,wanted to get some exercise,wanted to get some fresh air,1
Jordan wanted to try something new to pass the time  so he went to a baseball card shop.,Why did Jordan do this?,look at the baseball cards,find a new hobby,sell his baseball cards,2
Bailey threw their cap on the ground and walked away from it swiftly.,How would Bailey feel afterwards?,angry,hungry,depressed,1
"Skylar was getting close to the deadline, so Skylar put their mind to the task.",Why did Skylar do this?,finish the job,focus very hard,work very hard,1
Addison was at the shop and picked up groceries the other day then drove them back home and put them in the frigdge and cupboards.,Why did Addison do this?,Plan dinner,was hungry,Store the grocery bags,1
Robin went with Jan's friends to school when her own friends didn't show up.,What will Robin do next?,thank their own friends,be ungrateful to Jan's friends,ask her own friends why they were not there,3
Kai talked about politics with their friends to try and stay informed.,Why did Kai do this?,learn,needed to hang out with his friends,needed to make sure his friends know politics,1
"Quinn threw the frisbee very far, so the dog will have a challenge.",How would Quinn feel afterwards?,passive,loved,lazy,2
Jesse was upset but unfortunately went a little too far when he yelled at his brother.,How would you describe Jesse?,Happy,remorseful,upset,2
Remy paid Aubrey's taxes since she already owed money.,What will Aubrey want to do next?,throw the taxes out,return whatever they owed,go to the accountant,2
Bailey had the exams in her hand when the class started. Bailey passed Jesse an examination booklet.,What does Bailey need to do before this?,pass out exams,talk about the exam,needed to wait for class to start,3
Ash was having a hard time setting up his tent in the woods. Remy helped set up Ash's tent for him.,What will happen to Ash?,be covered from the rain,be admired by Ash for setting up the tent,be thanked by Ash for setting up the tent,1
Jesse went to the zoo with people from church. They saw all the animals in the zoo.,How would you describe Jesse?,inquisitive,excited,wandering,2
Alex made Casey escape jail because the guards werent watching.,What will happen to Casey?,in bad trouble,get Casey into trouble,be exonerated,1
"Carson learned a lot in school, as well as taking self-paced courses online, reading books, and practicing real-world skills.",How would you describe Carson?,Driven by curiosity and pragmatism,Interested in learning only the basics,hardworking,3
Jan started to put the moves on the new boy at school because they were wildly attracted to the boy.,What will the boy want to do next?,respond to Jan,make love to Jan,like him,1
Lee saved Kai's homework from destruction after the dog grabbed it off of the table.,Why did Lee do this?,hurt Kai's chances in school,protect Kai's homework,make Kai fail their homework,2
Tracy crowded around them because they wanted to intimated them a lot.,What will Tracy want to do next?,wanted to be polite,wanted to be agressive,confident,2
Riley wanted to stop by the lake to feed the ducks so she took the long way home.,Why did Riley take the long way home?,take her time,avoid traffic,enjoys looking at ducks,3
"Robin studied hard the night before, and found the test to be very easy. Robin finished the test quickly.",How would Robin feel afterwards?,proud,motivated,nervous,1
"Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo.",What will Riley want to do next?,right,Ignore the critics,express her views,2
Jan found new friends who are more popular than previous friends had been.,How would Others feel as a result?,jealous of the new friends,remorseful of the new friends,more popular,1
Kai told Kendall the reason that Kai wanted to break up with them for.,What will happen to Kendall?,go on his home,want to accept the break up,want to get Kai's affection back,3
taylor's child was sick in the hospital and taylor told quinn she would keep her posted.,What will happen to Taylor?,she will get details,talk to friends for support,be wracked with worry,1
Riley ate a fish burger from a street vendor and at the time was concerned it didnt smell right but decided to eat it anyway.  Later that day he started to feel unwell.,What does Riley need to do now?,go for a run,go to bed,Go to the doctor,3
Tracy gave it to their friend when their friend asked to see it.,What will happen to Others?,see it,hear their friend's opinion,talk about it,1
Lee gave his friend a special gift of a rare and collectible acoustical guitar.,Why did Lee do this?,buy an acoustical guitar from someone,thought the friend deserved a gift,find someone with an acoustical guitar,2
Sasha was playing baseball for so long and got tired.,How would you describe Sasha?,fit,weary from the game,exhausted from the game,3
Austin built a mall on the site where the ruins were found.,What does Austin need to do before this?,bring a local attraction,remove the artifacts,find a new site,2
Jordan took the man to the shoe store late Saturday afternoon.,What does Jordan need to do before this?,Go into the store,would need to pick up the man,would need to go alone,2
Aubrey asked Sydney to estimate the cost of the damage to her car.,Why did Sydney do this?,know the car's location,do her job as a car repair estimator,help Jason,2
Remy decided enough was enough at her job that day.,How would Remy feel afterwards?,Relieved,feeling proud,Like a pushover,1
Riley was the best of friends with the boy and the others were relieved they had someone to lean on.,What will Others want to do next?,talk with the boy,relax about them next,help the boy,1
Casey saw Aubrey stealing form the store and so she called Aubrey's parents.,How would Casey feel afterwards?,Like she should have let Aubrey steal,Like she should have stolen with Aubrey,Nervous about Aubrey's punishment,3
Jordan taught the children nutrition and brought new foods for them to try which affected the children's health.,What will Jordan do next?,eat the good nutritious foods in front of the children and let them eat cake,bring in more and more unusual foods for the children to try that are nutritious,teach the children more and more about the healthy aspects of cake,2
Sasha's team was playing terrible so took it upon herself to take over.,How would Others feel as a result?,proud of herself,happy about it,ashamed of their play,3
"Austin spent all of their money trying to win big at the casino, now they are hungry and don't have money to eat so the next stop is the pawn shop.",What will Austin want to do next?,has a gambling addiction,Find a way to buy food,Bet more at the casino,2
Remy was prepared for the test and they took it and got a very good grade on it.,What will Remy want to do next?,take another test,go to a movie,shout out loud,1
"Jesse was in a rut at work, so he started working harder to improve his condition.",Why did Jesse do this?,be depressed,get a promotion,Work longer hours,2
Austin offered Sydney a position because they knew Sydney was tire of living with their parents.,What will happen to Sydney?,they will move out their parents' home,she will earn money,they will move to another city,1
Skylar was outdoors in the wintertime and pulled the wool over their eyes and face.,How would you describe Skylar?,feeling cold,wearing wool,feeling warm,1
Robin let Carson explain why it happened in very much detail.,What will Robin want to do next?,runaway,be silent,explain again,2
Bailey passed Jesse's examination because they knew they were fine.,What will Bailey want to do next?,tell them they're fine,want more examations,say nothing,1
Carson ate Bailey's candy and took a nice long nap after eating the candy.,What will happen to Carson?,be upset,indifferent,proud,2
Jordan left his book on a bench at the park.,How would you describe Jordan?,very careful,a forgetful person,would be embarrassed,2
Austin got to warm to wear his sweater and decided to take it off.,Why did Austin do this?,put the sweater down,wanted to make a style statement,forgot to wear pants and used a sweater instead,1
Riley is the most popular student in the school.,What will Others want to do next?,run for class president,run for student council,join Riley's gang,3
Robin called up Jan's friends for a girl's night out and went out.,How would you describe Robin?,happy,left out,friendly,3
Taylor was trying to talk to her brother but the music was too loud. Taylor got louder as they raised their voice over the music.,How would Taylor feel afterwards?,annoyed,happy,quiet,1
Kendall grabs Jordan's hands tightly. Kendall begs Jordan not to break up with them but Jordan won't change their mind. Kendall leaves crying.,How would Jordan feel as a result?,sad,over,ready to go on a date with Kendall,1
Jan went to work on the morning of the party because she was called in.,How would Jan feel afterwards?,tired,happy,loyal to work,1
Skylar wore it to school to show his school spirit on game day.,Why did Skylar do this?,did this to cause trouble,did this to fit in,cheer for his team,3
Carson was visiting.,What will Carson want to do next?,play a game,Leave his friends,speak with Carson about what he has been doing,1
After everyone finished their food they were going to go to a party so Kai decided to finish his food first.,What will Others want to do next?,Eat there food quickly,Throw their food away,go back for a second serving,1
Quinn was starting to get the strength back in his legs after months of physical therapy.,How would Quinn feel afterwards?,proud of working so hard for months,upset at having done so little,persistent,1
"Taylor heard someone use an unfamiliar word, so they looked up the definition of it online.",What does Taylor need to do before this?,Type the word into a search engine,remember the word,Say the word aloud to remember it,1
Cameron picked Robin up from the airport.,What will happen to Robin?,got Robin seasick,got into Cameron's automobile,got lost looking for Cameron,2
Alex paid to get more information.,How would Alex feel afterwards?,happy to have information,Very nosy,Very rude,1
Jesse used notes throughout this book and was going to use them to study.,What will Jesse want to do next?,throw the notes away,do well on his test,examine the notes closely,3
Lee gave their friend Taylor a smile and laughed when Taylor made a joke.,How would Taylor feel as a result?,like impressing Taylor,Like they were funny,Like they gave their friend an answer,2
Jan and her best friend Kai met in elementary school and have been friends for 20 years.,How would Others feel as a result?,happy to be friends,mad about it,confused about it,1
Cameron took their responsibilities seriously to the point that he would get up an hour early.,How would you describe Cameron?,strong-willed,slovenly,lazy,1
"After catching them cheating together on the exam, Jan gave them an F.",Why did Jan do this?,punish their bad behavior,make them fail the class,catch them,1
Riley began to hurt after her medical operation.,What will Riley want to do next?,do nothing,injure herself more,go to the doctor,3
Aubrey was making extra money by babysitting Tracey's kids for the summer.,What will Tracy want to do next?,save up for a vacation,let Aubrey know that they are appreciated,pay off her college tuition,2
Taylor laid around and fell asleep. She woke up late for work.,What will Taylor want to do next?,stop thinking,close her eyes,rush getting ready,3
Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf.,How would Bailey feel afterwards?,indecision,complete,confusion,2
Riley had twisted their leg and began to hurt so bad that they could not walk.,What does Riley need to do before this?,lie down,run,Sit and relax,2
"Jesse had been sick for several weeks, but after taking new medication, Jesse was feeling much better.",How would Jesse feel afterwards?,healthy,confident,doing better,1
Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage.,How would Robin feel afterwards?,disgusted,be prepared,supported,3
Alex made their escape to Mexico to relax and enjoy the sights.,What does Alex need to do before this?,happy,plan a vacation before this,quit school before this,2
Cameron rode Jan's motorcycle to work when their car would not start.,How would Cameron feel afterwards?,angry at Jan,happy and excited by the motorcycle,hurt by the motorcycle,2
Remy gave the board Casey's interpretation of the facts about the case they had accepted.,How would Casey feel as a result?,like running away,relieved to have help,pleased of the presentation,3
Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time.,What will Riley do?,be self-conscious,Believe what Jesse says,Not take Jesse's word for anything,3
"After seeing what a mess Aubrey was, Robin changed her into clean clothes.",How would you describe Robin?,a kind caretaker,like a person who puts in thought,a reliable friend,1
Jan wanted to help some low income kids go to summer camp. Jan raised money to help.,How would Jan feel as a result?,guilty for it,upset about it,good about it,3
"Carson thought it was a bad idea to drink and drive, and Taylor proved Carson's point last night.",What will happen to Taylor?,listen to Taylor's future advice,avoid drinking and driving next time,have their driver's license taken away,3
Quinn murdered Remy's wife while Remy was away on a business trip.,How would Quinn feel afterwards?,guilty,like a good person,sad,1
Bailey held Aubrey's breath until she stopped breathing.,What will Bailey want to do next?,run away,let her friends see,call the police,1
Riley regarded Jesse with observant eyes to watch over the children at the daycare.,Why did Riley do this?,trusts Jesse,be alert and on point,pay attention to everything that goes on,2
Sasha spent a weekend in the mountains hiking and getting fresh air.,What will Sasha want to do next?,ask people about a trip,go home,have fun,2
Robin left food out for the animals in her backyard to come and enjoy.,What will Robin want to do next?,chase the animals away,watch the animals eat,go out in the backyard,2
"Kai stayed home from work, so Kai spent several hours online doing nothing.",How would you describe Kai?,guilty,productive,lazy,3
After much discussion it was decided that Tracy had done the most research. Quinn held a meeting using Tracy's forms.,Why did Quinn do this?,flatter Tracy,study Tracy's research,use the best information,3
Aubrey worked their best and never received a raise.,How would you describe Aubrey?,underappreciated,Feel cheated,Someone who could be appreciated,1
"Carson turned the music up. His friend asked him to turn it down and Carson asked ""turn down for what?"" and turned it up louder.",What did Carson do?,ld the police he would be quiet from now on,plug in his phone,listened to very loud music,3
Alex was looking for a knife they dropped. Alex searched the woods.,How would Alex feel afterwards?,sad,cheerful,enlightened,1
Sasha was a doctor at a hospital who had been questioned about a patient.,What will happen to Sasha?,get fired by the hospital,get sued by the person who wanted the information,find Sasha innocent,2
Sasha wetted the bed because they had a bad dream.,How would Sasha feel afterwards?,has insecurities,has a weak bladder,the need to clean up right away,3
"Kendall's shirt was very expensive, and they lost it over there.",How would Kendall feel afterwards?,accident prone,mad,happy,2
Robin let Carson explain it more thoroughly to the client after there was some confusion.,What will Carson want to do next?,confuse Robin,repeat himself,get a sale,3
Carson's friend wanted something sweet to drink. Carson gave their friend some milk.,What will happen to Carson?,talk to the friend,ask for milk,milk a cow,1
Jordan ran quickly to the store down the street.,What will Jordan want to do next?,put on his boots,throw on his running shoes,put gas in the car,2
jordan went to prison for 25 years for armed robbery and paid their debt to society.,Why did Jordan do this?,he had no choice,get a job,pay his debt back to society,1
Jesse is patient and hardworking and hungry in the morning.,How would you describe Jesse?,ill prepared,Exhausted and starved,thoughtful,2
Robin took it at face value after being misled before about the same subject.,Why did Robin do this?,did this to be hurtful,did this to be practical,believe,2
Taylor gave their partner a kiss on the lips and wished each other a goodnight.,What will happen to Others?,bored,go to sleep,proud,2
Quinn was unhappy in the marriage and promptly filled for a divorce.,What will Quinn want to do next?,separate from his wife,throw a party,get himself a lawyer,1
Robin let Carson take the lead on the project and take most of the credit.,How would you describe Robin?,interested in promoting their career,not comfortable being the center of attention,always trying to get ahead,2
Kendall won the competition easily because of her performance that day.,How would Others feel as a result?,elated,like winners,quite jealous,3
Carson gave her some milk to try to get the baby to stop crying.,What will happen to the baby?,hope the milk will work,drink water,stop crying,3
"Kai was not happy with how things were going, and Cameron took Kai's complaint seriously.",How would Cameron feel afterwards?,Trustworthy,indifferent,like a good friend,3
Skylar had tooth pain and found out they needed a root canal.,How would you describe Skylar?,getting fixed,getting new teeth,in pain,3
"Casey came home from work, took out the chicken and put it into the oven.",Why did Casey do this?,satisfy their thirst,take it out,make dinner,3
Ash was moving out of his apartment. Taylor came over to help Ash move.,What will happen to Taylor?,relocate all of this belongings to the new home,be successful with moving out of the apartment,be thanked,3
"Austin gave birth on Sunday, and was home with the new baby my Tuesday.",What does Austin need to do before this?,take care of the baby,become infertile with the child,get to the hospital,3
Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside.,How would Others feel as a result?,thinks differently,awkward,hungry,2
Casey was feeling pains in their arms and their chest.,How would you describe Casey?,in tune with their body,knowledgeable about medical problems,foolish,1
Lee gave birth to twins when she was at the hospital.,What will Lee want to do next?,see her twins,ignore the babies,go get some ice cream,1
Sasha bought a new home because the government was going to destroy her other one.,What does Sasha need to do before this?,leave her current home,buy a boat,sell her assets,1
remy was a kind person so he set up ash's tent.,What will happen to Remy?,be harassed,sleep in a tent,be honored,2
Casey gave some money to Jesse so she could go to the movie.,How would you describe Casey?,thankful,greedy,giving,3
Sasha gave the dog some pills to help it feel better.,What will Sasha want to do next?,make the dog eat,hope that it get's well,find the pills,2
Remy saw some people playing tennis at the park. They challenged them to a game.,What will Remy want to do next?,lose,be serious,play tennis,3
jan took them to NYC so that they could experience the city for the first time.,What will Others want to do next?,look around,look nowhere,make sure they get a good first impression of NYC,1
Tracy gave video games to my friend. They knew they were quality titles they would enjoy.,What will Tracy want to do next?,give bad advice,be generous,give advice,2
Kendall drank everyday until their friends mentioned it was becoming a problem.,What will Kendall want to do next?,drink a lot of alcohol,go to a meeting,go to a bar,2
Cameron was looking around the casino for Skylar's friends. Cameron found Skylar's friends over by the bar.,What will Cameron want to do next?,go home,order a drink,wanted to share their earnings with the others,2
Jesse got the results for the test and got an A as a grade.,Why did Jesse do this?,keep it up,celebrate,studied hard,3
