id,question,A,B,C,D,answer
26,"The toddler became cranky. As a result,",Her mother put her down for a nap.,Her mother fixed her hair into pigtails.,None of the above choices are correct.,I do not know the answer to this question.,A
27,The child became immune to the disease. This happened because,He avoided exposure to the disease.,He received the vaccine for the disease.,None of the above choices are correct.,I do not know the answer to this question.,B
28,"The grape juice fermented. As a result,",The juice turned to wine.,The juice evaporated.,None of the above choices are correct.,I do not know the answer to this question.,A
29,The friends' debate dragged on interminably. This happened because,The friends saw eye to eye.,The friends were splitting hairs.,None of the above choices are correct.,I do not know the answer to this question.,B
30,The woman hummed to herself. This happened because,She was nervous.,She was in a good mood.,None of the above choices are correct.,I do not know the answer to this question.,B
31,"The man hated his new haircut. As a result,",He wore a hat.,He grew a beard.,None of the above choices are correct.,I do not know the answer to this question.,A
32,"The police aimed their weapons at the fugitive. As a result,",The fugitive fell to the ground.,The fugitive dropped his gun.,None of the above choices are correct.,I do not know the answer to this question.,B
33,"The patient was dehydrated. As a result,",The nurse tested his reflexes.,The nurse gave him an IV.,None of the above choices are correct.,I do not know the answer to this question.,B
34,"The girl found the missing puzzle piece. As a result,",She completed the puzzle.,She took apart the puzzle.,None of the above choices are correct.,I do not know the answer to this question.,A
35,The man urgently leaped out of bed. This happened because,He wanted to shut off the alarm clock.,He wanted to iron his pants before work.,None of the above choices are correct.,I do not know the answer to this question.,A
36,"The papers were disorganized. As a result,",I made photocopies of them.,I put them into alphabetical order.,None of the above choices are correct.,I do not know the answer to this question.,B
37,"The woman won the lottery. As a result,",She bought a yacht.,She joined a church.,None of the above choices are correct.,I do not know the answer to this question.,A
38,"The seamstress pushed the threaded needle into the fabric. As a result,",The thread wrapped around the needle.,The thread went through the fabric.,None of the above choices are correct.,I do not know the answer to this question.,B
39,The woman hired a lawyer. This happened because,She decided to sue her employer.,She decided to run for office.,None of the above choices are correct.,I do not know the answer to this question.,A
40,"The tenant misplaced his keys to his apartment. As a result,",His landlord unlocked the door.,His landlord repaired the door.,None of the above choices are correct.,I do not know the answer to this question.,A
41,"My favorite song came on the radio. As a result,",I covered my ears.,I sang along to it.,None of the above choices are correct.,I do not know the answer to this question.,B
42,The executive decided not to hire the applicant. This happened because,The applicant failed a background check.,The applicant had experience for the job.,None of the above choices are correct.,I do not know the answer to this question.,A
43,"The man's eye became infected. As a result,",He went blind.,He put on glasses.,None of the above choices are correct.,I do not know the answer to this question.,A
44,The bird couldn't fly. This happened because,It migrated for the winter.,It injured its wing.,None of the above choices are correct.,I do not know the answer to this question.,B
45,The girl made a wish. This happened because,She saw a black cat.,She saw a shooting star.,None of the above choices are correct.,I do not know the answer to this question.,B
46,"The woman shivered as she got out the pool. As a result,",She wrapped herself in a towel.,She poured herself some lemonade.,None of the above choices are correct.,I do not know the answer to this question.,A
47,"The nurse prepared the needle for the patient's injection. As a result,",The patient bled.,The patient tensed up.,None of the above choices are correct.,I do not know the answer to this question.,B
48,The man threw out the bread. This happened because,It was fresh.,It was stale.,None of the above choices are correct.,I do not know the answer to this question.,B
49,The children knocked over a lamp. This happened because,They had a pillow fight.,They jumped on the bed.,None of the above choices are correct.,I do not know the answer to this question.,A
50,I drank from the water fountain. This happened because,I was thirsty.,I felt nauseous.,None of the above choices are correct.,I do not know the answer to this question.,A
51,"The homeowners disliked their nosy neighbors. As a result,",They built a fence around their property.,They hosted a barbeque in their backyard.,None of the above choices are correct.,I do not know the answer to this question.,A
52,"The bodybuilder lifted weights. As a result,",The gym closed.,Her muscles became fatigued.,None of the above choices are correct.,I do not know the answer to this question.,B
53,"The cook stirred the ingredients in the bowl. As a result,",The ingredients melted.,The ingredients blended together.,None of the above choices are correct.,I do not know the answer to this question.,B
54,"The man signed the document. As a result,",The transaction was voided.,The transaction became official.,None of the above choices are correct.,I do not know the answer to this question.,B
55,"The police officer dropped the gun. As a result,",The gun recoiled.,The gun went off.,None of the above choices are correct.,I do not know the answer to this question.,B
56,"The woman felt compelled to help someone in need. As a result,",She donated blood.,She wrote a poem.,None of the above choices are correct.,I do not know the answer to this question.,A
57,"The woman felt lonely. As a result,",She renovated her kitchen.,She adopted a cat.,None of the above choices are correct.,I do not know the answer to this question.,B
58,"I rubbed sandpaper on the wood. As a result,",The wood became smooth.,The wood became sticky.,None of the above choices are correct.,I do not know the answer to this question.,A
59,"The crowd gave the band a standing ovation. As a result,",The band signed autographs.,The band reappeared on the stage.,None of the above choices are correct.,I do not know the answer to this question.,B
60,"The man threw his empty can onto the street. As a result,",He was jumped from behind.,He was fined for littering.,None of the above choices are correct.,I do not know the answer to this question.,B
61,My stomach growled. This happened because,I forgot to eat breakfast.,I was full from breakfast.,None of the above choices are correct.,I do not know the answer to this question.,A
62,"The boaters set off a flare. As a result,",Their boat drifted to shore.,Their boat was rescued.,None of the above choices are correct.,I do not know the answer to this question.,B
63,The man removed his coat. This happened because,He entered the house.,He loosened his tie.,None of the above choices are correct.,I do not know the answer to this question.,A
64,The family took their dog to the veterinarian. This happened because,The dog chewed on a bone.,The dog injured his paw.,None of the above choices are correct.,I do not know the answer to this question.,B
65,"The woman dangled the biscuit above the dog. As a result,",The dog jumped up.,The dog scratched its fur.,None of the above choices are correct.,I do not know the answer to this question.,A
66,I learned how to play the board game. This happened because,My friend explained the rules to me.,My friend got the rules wrong.,None of the above choices are correct.,I do not know the answer to this question.,A
67,The man went away for the weekend. This happened because,He wanted to relax.,He felt content.,None of the above choices are correct.,I do not know the answer to this question.,A
68,The shop was closed. This happened because,The owner was helping customers.,The shop was undergoing renovation.,None of the above choices are correct.,I do not know the answer to this question.,B
69,The boy tuned the radio. This happened because,The station was playing rock music.,The station was coming in with static.,None of the above choices are correct.,I do not know the answer to this question.,B
70,"The terrorist set off the bomb. As a result,",The bomb exploded.,The bomb was deactivated.,None of the above choices are correct.,I do not know the answer to this question.,A
71,The police handcuffed the suspect. This happened because,The police called for backup.,The suspect resisted arrest.,None of the above choices are correct.,I do not know the answer to this question.,B
72,"The authorities vowed to protect the identity of the crime victim. As a result,",The victim struggled to recall details about the crime.,They withheld the victim's name from the public.,None of the above choices are correct.,I do not know the answer to this question.,B
73,The man's clothes fit loosely. This happened because,He bought them on sale.,He lost weight.,None of the above choices are correct.,I do not know the answer to this question.,B
74,"The clock stopped ticking. As a result,",I took extra time to get ready.,The clock showed the wrong time.,None of the above choices are correct.,I do not know the answer to this question.,B
75,The man closed the umbrella. This happened because,He got out of the car.,He approached the building.,None of the above choices are correct.,I do not know the answer to this question.,B
76,The man craved a cigarette. This happened because,His family urged him to quit smoking.,He was addicted to nicotine.,None of the above choices are correct.,I do not know the answer to this question.,B
77,"The man dropped food on the floor. As a result,",His dog jumped up on him.,His dog ran over to eat the food.,None of the above choices are correct.,I do not know the answer to this question.,B
78,"The girl was angry with her friend. As a result,",The girl spread a rumor about her friend.,The girl told a secret to her friend.,None of the above choices are correct.,I do not know the answer to this question.,A
79,"The fugitive hid from the police. As a result,",The police dropped the case.,The fugitive remained at large.,None of the above choices are correct.,I do not know the answer to this question.,B
80,"I tipped the bottle. As a result,",The liquid in the bottle froze.,The liquid in the bottle poured out.,None of the above choices are correct.,I do not know the answer to this question.,B
81,The woman spoke with a foreign accent. This happened because,She came from a wealthy family.,She migrated from another country.,None of the above choices are correct.,I do not know the answer to this question.,B
82,The boy's mouth stung. This happened because,He ate a pepper.,He blew out the candle.,None of the above choices are correct.,I do not know the answer to this question.,A
83,"I finished a page of the book. As a result,",I ripped out the next page.,I turned to the next page.,None of the above choices are correct.,I do not know the answer to this question.,B
84,The service at the restaurant was slow. This happened because,There were many empty tables.,The restaurant was crowded.,None of the above choices are correct.,I do not know the answer to this question.,B
85,"I saw a woman getting robbed on the street. As a result,",I called 911.,I hailed a cab.,None of the above choices are correct.,I do not know the answer to this question.,A
86,My stomach hurt. This happened because,I jogged on the treadmill.,I ate birthday cake.,None of the above choices are correct.,I do not know the answer to this question.,B
87,I put my plate in the sink. This happened because,I finished eating.,I skipped dinner.,None of the above choices are correct.,I do not know the answer to this question.,A
88,The man closed the book. This happened because,He finished reading it.,It provoked him to think.,None of the above choices are correct.,I do not know the answer to this question.,A
89,The boy read the novel aloud to his grandfather. This happened because,His grandfather was deaf.,His grandfather was blind.,None of the above choices are correct.,I do not know the answer to this question.,B
90,"My foot went numb. As a result,",I put my shoes on.,I shook my foot.,None of the above choices are correct.,I do not know the answer to this question.,B
91,"The photographer got the child to smile. As a result,",The photographer quickly snapped the child's photo.,The photographer quickly changed the child's pose.,None of the above choices are correct.,I do not know the answer to this question.,A
92,The window was opaque. This happened because,The glass was stained.,The blinds were open.,None of the above choices are correct.,I do not know the answer to this question.,A
93,I slipped on the floor. This happened because,The tile was wet.,The tile was cracked.,None of the above choices are correct.,I do not know the answer to this question.,A
94,"The man slid the razor across his chin. As a result,",His stubble grew.,His stubble disappeared.,None of the above choices are correct.,I do not know the answer to this question.,B
95,The woman took her family on vacation. This happened because,Her husband got laid off.,She received a salary bonus.,None of the above choices are correct.,I do not know the answer to this question.,B
96,The woman awakened. This happened because,She took sleeping pills.,Her husband was snoring.,None of the above choices are correct.,I do not know the answer to this question.,B
97,"The woman sensed a pleasant smell. As a result,",She remembered to take her medication.,She was reminded of her childhood.,None of the above choices are correct.,I do not know the answer to this question.,B
98,The bar closed. This happened because,It was crowded.,It was 3 AM.,None of the above choices are correct.,I do not know the answer to this question.,B
99,The driver got pulled over by the police. This happened because,He was parking.,He was speeding.,None of the above choices are correct.,I do not know the answer to this question.,B
100,"The teacher took roll. As a result,",She identified the students that were absent.,She gave her students a pop quiz.,None of the above choices are correct.,I do not know the answer to this question.,A
101,"I pushed the pendulum. As a result,",It slowed to a stop.,It swung back and forth.,None of the above choices are correct.,I do not know the answer to this question.,B
102,"The child kicked the stack of blocks. As a result,",The stack towered over the boy's head.,The blocks scattered all over the rug.,None of the above choices are correct.,I do not know the answer to this question.,B
103,The teenager ran away from home. This happened because,He relied on his parents.,His parents abused him.,None of the above choices are correct.,I do not know the answer to this question.,B
104,I botched the job interview. This happened because,The interviewer asked difficult questions.,I anticipated the interviewer's questions.,None of the above choices are correct.,I do not know the answer to this question.,A
105,The pharmaceutical company recalled the drug. This happened because,Users reported dangerous side effects.,Users got refills on their prescriptions.,None of the above choices are correct.,I do not know the answer to this question.,A
106,"The man looked at his watch. As a result,",He realized he forgot something.,He realized he was early.,None of the above choices are correct.,I do not know the answer to this question.,B
107,I dabbed the floor with a paper towel. This happened because,I spilled juice on the floor.,The floor was permanently stained.,None of the above choices are correct.,I do not know the answer to this question.,A
108,The bartender refused to serve the patron. This happened because,The patron was alone.,The patron was drunk.,None of the above choices are correct.,I do not know the answer to this question.,B
109,"I was confused by the professor's lecture. As a result,",I paid attention to the professor.,I asked the professor questions.,None of the above choices are correct.,I do not know the answer to this question.,B
110,"The book was deemed inappropriate for children. As a result,",Schools banned it from its libraries.,Teachers required students to read it.,None of the above choices are correct.,I do not know the answer to this question.,A
111,"The man begged for forgiveness. As a result,",The woman took pity on him.,The woman joked around with him.,None of the above choices are correct.,I do not know the answer to this question.,A
112,"I received a package in the mail. As a result,",The package triggered my curiosity.,I took the package to the post office.,None of the above choices are correct.,I do not know the answer to this question.,A
113,"The surfer caught the wave. As a result,",The wave carried her to the shore.,She paddled her board into the ocean.,None of the above choices are correct.,I do not know the answer to this question.,A
114,"The speaker disarmed her debate opponent. As a result,",The speaker congratulated her opponent.,The speaker won the debate.,None of the above choices are correct.,I do not know the answer to this question.,B
115,I moved to a new city. This happened because,I found a better-paying job.,My son was born.,None of the above choices are correct.,I do not know the answer to this question.,A
116,I avoided giving a straight answer to the question. This happened because,The question made me uncomfortable.,I wanted to be honest.,None of the above choices are correct.,I do not know the answer to this question.,A
117,The student received detention. This happened because,He talked back to the teacher.,The teacher graded his homework.,None of the above choices are correct.,I do not know the answer to this question.,A
118,The boy's hands were shaking. This happened because,He planned to ask the girl out.,His palms were cold and sweaty.,None of the above choices are correct.,I do not know the answer to this question.,A
119,The fans in the stadium cheered. This happened because,The game ended in a tie.,The player scored.,None of the above choices are correct.,I do not know the answer to this question.,B
120,"The girl went down the hill on her bike. As a result,",Her bike swerved.,Her bike sped up.,None of the above choices are correct.,I do not know the answer to this question.,B
121,"A man cut in front of me in the long line. As a result,",I confronted him.,I smiled at him.,None of the above choices are correct.,I do not know the answer to this question.,A
122,The inside of the train went dark. This happened because,The train travelled through a tunnel.,The train ran off the tracks.,None of the above choices are correct.,I do not know the answer to this question.,A
123,"The man contemplated the painting. As a result,",He felt in awe.,He collapsed.,None of the above choices are correct.,I do not know the answer to this question.,A
124,The turtle hid in its shell. This happened because,It ate a fish.,It detected a predator.,None of the above choices are correct.,I do not know the answer to this question.,B
125,The girl handed down her clothes to her younger sister. This happened because,The clothes were tattered.,She outgrew the clothes.,None of the above choices are correct.,I do not know the answer to this question.,B
126,"Several witnesses of the crime testified against the suspect. As a result,",The suspect was acquitted.,The suspect was convicted.,None of the above choices are correct.,I do not know the answer to this question.,B
127,The parents left their children with a babysitter. This happened because,Their youngest child started attending preschool.,They made plans to celebrate their anniversary.,None of the above choices are correct.,I do not know the answer to this question.,B
128,The trip took a long time. This happened because, The driver talked the whole way.,The driver made a wrong turn.,None of the above choices are correct.,I do not know the answer to this question.,B
129,"The product was heavily advertised. As a result,",Consumers recognized the product.,The product became outdated.,None of the above choices are correct.,I do not know the answer to this question.,A
130,"I rubbed the soap between my hands. As a result,",The soap foamed.,My hands went numb.,None of the above choices are correct.,I do not know the answer to this question.,A
131,"The cowgirl threw her lasso towards the horse. As a result,",The lasso grabbed onto the horse.,The horse trotted into the barn.,None of the above choices are correct.,I do not know the answer to this question.,A
132,"The group overlooked the woman's faux pas. As a result,",The woman was relieved.,The woman apologized.,None of the above choices are correct.,I do not know the answer to this question.,A
133,"The girl came across an unfamiliar word in her textbook. As a result,",She looked the term up in the dictionary.,She chucked the textbook across the room.,None of the above choices are correct.,I do not know the answer to this question.,A
134,"The man became disabled. As a result,",His family offered him financial support.,His family cut off contact with him.,None of the above choices are correct.,I do not know the answer to this question.,A
135,"The flashlight was dead. As a result,",I took it apart.,I replaced the batteries.,None of the above choices are correct.,I do not know the answer to this question.,B
136,"The skunk sprayed the dog. As a result,",The dog emitted a foul smell.,The skunk roamed the woods.,None of the above choices are correct.,I do not know the answer to this question.,A
137,"I scratched my skin. As a result,",My itch went away.,My scar faded.,None of the above choices are correct.,I do not know the answer to this question.,A
138,I wrote a thank-you note to my grandmother. This happened because,She became forgetful.,She sent me a gift.,None of the above choices are correct.,I do not know the answer to this question.,B
139,"A burglar broke into the house. As a result,",The homeowners were asleep.,The security alarm went off.,None of the above choices are correct.,I do not know the answer to this question.,B
140,"I held the door for the woman entering behind me. As a result,",The door slammed shut.,The woman thanked me.,None of the above choices are correct.,I do not know the answer to this question.,B
141,"The mirror in the bathroom fogged up. As a result,",The girl turned on the fan.,The girl applied her makeup.,None of the above choices are correct.,I do not know the answer to this question.,A
142,The security guard tackled the man. This happened because,The man reached into his pocket.,The man displayed a weapon.,None of the above choices are correct.,I do not know the answer to this question.,B
143,"The driver rotated the steering wheel. As a result,",The car halted.,The car turned.,None of the above choices are correct.,I do not know the answer to this question.,B
144,The army surrendered the battle. This happened because,They were outnumbered.,They stormed the city.,None of the above choices are correct.,I do not know the answer to this question.,A
145,"The navy bombed the ship. As a result,",The ship crashed into the pier.,The ship's debris sunk in the sea.,None of the above choices are correct.,I do not know the answer to this question.,B
146,I ironed my shirt. This happened because,It was clean.,It was wrinkled.,None of the above choices are correct.,I do not know the answer to this question.,B
147,"The girl felt dizzy. As a result,",She lost her balance.,She did stretches.,None of the above choices are correct.,I do not know the answer to this question.,A
148,The driver pulled over to the side of the road. This happened because,He went through an intersection.,He noticed a stranded vehicle.,None of the above choices are correct.,I do not know the answer to this question.,B
149,The hospital sent the patient home. This happened because,The patient's symptoms cleared up.,The patient's family visited him.,None of the above choices are correct.,I do not know the answer to this question.,A
150,The child caught a life-threatening illness. This happened because,She didn't get vaccinated.,She was adopted.,None of the above choices are correct.,I do not know the answer to this question.,A
151,"We found empty seats in the theatre. As a result,",The film began.,We sat down.,None of the above choices are correct.,I do not know the answer to this question.,B
152,"The parents recognized their daughter's creativity. As a result,",They taught her how to ride a bike.,They encouraged her to become an artist.,None of the above choices are correct.,I do not know the answer to this question.,B
153,"The boy turned the lid on the jar. As a result,",The jar became warm.,The lid came off.,None of the above choices are correct.,I do not know the answer to this question.,B
154,The woman received a diploma. This happened because,She enrolled in college.,She graduated from college.,None of the above choices are correct.,I do not know the answer to this question.,B
155,I chugged the pitcher of water. This happened because,I walked upstairs.,I ran five miles.,None of the above choices are correct.,I do not know the answer to this question.,B
156,"I came upon a puddle on the sidewalk. As a result,",I leapt over the puddle.,I played in the puddle.,None of the above choices are correct.,I do not know the answer to this question.,A
157,The woman covered her ears. This happened because,The fire alarm blared.,The woman smelled smoke.,None of the above choices are correct.,I do not know the answer to this question.,A
158,"The archeologist dug up the site. As a result,",She excavated ancient artifacts.,She read about the site's history.,None of the above choices are correct.,I do not know the answer to this question.,A
159,The audience booed the comedian off the stage. This happened because,He told a racist joke.,He entertained the audience.,None of the above choices are correct.,I do not know the answer to this question.,A
160,The coach gave his player a high five. This happened because,The player got a penalty.,The player scored a point.,None of the above choices are correct.,I do not know the answer to this question.,B
161,"I tossed the ball upwards. As a result,",The ball rolled across the ground.,The ball hit the ceiling.,None of the above choices are correct.,I do not know the answer to this question.,B
162,"My breath smelled of garlic. As a result,",I wiped my mouth.,I brushed my teeth.,None of the above choices are correct.,I do not know the answer to this question.,B
163,"The man was lost. As a result,",He asked for directions.,He drew a map.,None of the above choices are correct.,I do not know the answer to this question.,A
164,"The baby pulled the mother's hair. As a result,",The baby burped.,The mother grimaced.,None of the above choices are correct.,I do not know the answer to this question.,B
165,"I stood on one foot. As a result,",My balance wavered.,I kneeled down.,None of the above choices are correct.,I do not know the answer to this question.,A
166,"I pushed the gas pedal. As a result,",The car accelerated.,The car door opened.,None of the above choices are correct.,I do not know the answer to this question.,A
167,My car was towed. This happened because,I parked illegally.,I jumped the battery.,None of the above choices are correct.,I do not know the answer to this question.,A
168,The woman got away with the crime. This happened because,Her accomplice was apprehended.,She destroyed the evidence.,None of the above choices are correct.,I do not know the answer to this question.,B
169,The dust came off the desk. This happened because,I wiped the desk with a cloth.,I removed the books from the desk.,None of the above choices are correct.,I do not know the answer to this question.,A
170,"The motorcyclist twisted the throttle. As a result,",The motorcycle coasted to a halt.,The motorcycle shot forward.,None of the above choices are correct.,I do not know the answer to this question.,B
171,"The teacher caught the student chewing gum. As a result,",The gum stuck to the student's shoe.,The student spit out the gum.,None of the above choices are correct.,I do not know the answer to this question.,B
172,"The host served dinner to his guests. As a result,",His guests were gracious.,His guests went hungry.,None of the above choices are correct.,I do not know the answer to this question.,A
173,The boy climbed the tree. This happened because,A cat got stuck in the tree.,A bird built a nest in the tree.,None of the above choices are correct.,I do not know the answer to this question.,A
174,The chair squeaked. This happened because,The man carried the chair to his office.,The man scooted the chair closer to his desk.,None of the above choices are correct.,I do not know the answer to this question.,B
175,The father shut off the children's television. This happened because,It was bedtime for the children.,The children were watching cartoons.,None of the above choices are correct.,I do not know the answer to this question.,A
176,The man held his breath. This happened because,He went underwater.,He treaded water.,None of the above choices are correct.,I do not know the answer to this question.,A
177,"I clumsily bumped into the stranger. As a result,",I ran away.,I apologized to him.,None of the above choices are correct.,I do not know the answer to this question.,B
178,The boat capsized. This happened because,The captain raised the sail.,It was caught in a hurricane.,None of the above choices are correct.,I do not know the answer to this question.,B
179,The mother suspected that her son was lying. This happened because,He refused to talk to her.,He avoided making eye contact with her.,None of the above choices are correct.,I do not know the answer to this question.,B
180,The young woman was denied entrance into the bar. This happened because,Her friends stood her up.,She forgot her ID.,None of the above choices are correct.,I do not know the answer to this question.,B
181,A crater formed on the moon. This happened because,A comet passed by the moon.,A comet collided with the moon.,None of the above choices are correct.,I do not know the answer to this question.,B
182,"I planted the seeds in the soil. As a result,",I watered the soil.,The seeds sprouted.,None of the above choices are correct.,I do not know the answer to this question.,B
183,The benefactor requested to stay anonymous. This happened because,He wanted to maintain his privacy.,He supported the cause behind his donation.,None of the above choices are correct.,I do not know the answer to this question.,A
184,"The woman felt ashamed of scar on her face. As a result,",She explained the scar to strangers.,She hid the scar with makeup.,None of the above choices are correct.,I do not know the answer to this question.,B
185,"The doctor x-rayed the patient's arm. As a result,",He discovered that the patient's arm was broken.,He put the patient's arm in a cast.,None of the above choices are correct.,I do not know the answer to this question.,A
186,The boy filled the bucket with sand. This happened because,He was collecting seashells in the sand.,He was building a sand castle.,None of the above choices are correct.,I do not know the answer to this question.,B
187,"The woman upgraded her computer hardware. As a result,",She deleted old files on the computer.,She installed new software on the computer.,None of the above choices are correct.,I do not know the answer to this question.,B
188,"The girl performed in a dance recital. As a result,",Her parents showed her how to dance.,Her parents came to watch the recital.,None of the above choices are correct.,I do not know the answer to this question.,B
189,"The baby was wailing in his crib. As a result,",The mother picked up the baby.,The baby crawled to the mother.,None of the above choices are correct.,I do not know the answer to this question.,A
190,"The woman had a religious awakening. As a result,",She began going to church.,She began travelling abroad.,None of the above choices are correct.,I do not know the answer to this question.,A
191,"The bureau drawers were cluttered. As a result,",I threw away unnecessary contents.,I locked the drawers shut.,None of the above choices are correct.,I do not know the answer to this question.,A
192,The student flaunted his test grade to his classmates. This happened because,He received a perfect score.,He feigned interest in the class.,None of the above choices are correct.,I do not know the answer to this question.,A
193,The boy felt homesick. This happened because,He went away to camp.,He bickered with his sister.,None of the above choices are correct.,I do not know the answer to this question.,A
194,The rocket flew up into the sky. This happened because,The girl launched it.,The girl designed it.,None of the above choices are correct.,I do not know the answer to this question.,A
195,"The boy murmured his reply to his mother. As a result,",His mother told him to whisper.,His mother told him to speak up.,None of the above choices are correct.,I do not know the answer to this question.,B
196,My flight got delayed. This happened because,Tornadoes were sighted in the area.,I was held up at airport security.,None of the above choices are correct.,I do not know the answer to this question.,A
197,The smoke alarm went off. This happened because,I lit a candle.,I burnt my dinner.,None of the above choices are correct.,I do not know the answer to this question.,B
198,"The vase broke. As a result,",I stenciled it.,I glued it back together.,None of the above choices are correct.,I do not know the answer to this question.,B
199,The woman felt an electric shock. This happened because,She grabbed the doorknob.,She pounded on the door.,None of the above choices are correct.,I do not know the answer to this question.,A
200,The man had lipstick on his cheek. This happened because,The woman kissed him.,The woman made him blush.,None of the above choices are correct.,I do not know the answer to this question.,A
201,I jumped instinctively in fright. This happened because,I sensed someone approaching me from behind.,I heard people chuckling in the adjacent room.,None of the above choices are correct.,I do not know the answer to this question.,A
202,"The gardener wanted his plants to flourish. As a result,",He planted a variety of seeds.,He put fertilizer in the soil.,None of the above choices are correct.,I do not know the answer to this question.,B
203,A water pipe in the house burst. This happened because,The water was unsanitary.,The pipe froze.,None of the above choices are correct.,I do not know the answer to this question.,B
204,"The waistband on my pants was loose. As a result,",I put on a belt.,I put on a hat.,None of the above choices are correct.,I do not know the answer to this question.,A
205,The company lost money. This happened because,Its products received positive consumer reviews.,Some of its products were manufactured defectively.,None of the above choices are correct.,I do not know the answer to this question.,B
206,The tenants were evicted from the apartment. This happened because,They neglected to pay their rent.,They got along with their landlord.,None of the above choices are correct.,I do not know the answer to this question.,A
207,"The man woke up with a toothache. As a result,",He missed an appointment with the dentist.,He made an appointment with the dentist.,None of the above choices are correct.,I do not know the answer to this question.,B
208,The team lost the game. This happened because,Their best player was injured.,Their coach pumped them up.,None of the above choices are correct.,I do not know the answer to this question.,A
209,The parents forbade their children from watching the movie.  This happened because,The movie was rated R.,The movie was animated.,None of the above choices are correct.,I do not know the answer to this question.,A
210,The woman deleted the email. This happened because,The sender tried to solicit money from her.,The sender requested a response from her.,None of the above choices are correct.,I do not know the answer to this question.,A
211,The police eliminated the woman from the list of suspects. This happened because,The police interrogated her.,Her alibi checked out.,None of the above choices are correct.,I do not know the answer to this question.,B
212,"The climbers reached the peak of the mountain. As a result,",They encountered an avalanche.,They congratulated each other.,None of the above choices are correct.,I do not know the answer to this question.,B
213,"The vandals threw a rock at the window. As a result,",The window cracked.,The window fogged up.,None of the above choices are correct.,I do not know the answer to this question.,A
214,"The fortune teller's revelations were convincing. As a result,",She received many returning customers.,Many customers asked for refunds.,None of the above choices are correct.,I do not know the answer to this question.,A
