prompt,target
"Question: A fencing thrust with a sharp sword towards a person would result in what?
Choices: A) injury B) small cuts C) fever D) competition E) puncture wound
Answer:",E
"Question: Unlike a spider and his many sight seers, people only have what?
Choices: A) tongues B) names C) brains D) feelings E) two eyes
Answer:",E
"Question: Where do adults use glue sticks?
Choices: A) classroom B) desk drawer C) at school D) office E) kitchen drawer
Answer:",D
"Question: What could go on top of wood?
Choices: A) lumberyard B) synagogue C) floor D) carpet E) hardware store
Answer:",D
"Question: The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?
Choices: A) sadness B) anxiety C) inspiration D) discomfort E) insights
Answer:",C
"Question: Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?
Choices: A) indestructible B) durable C) undestroyable D) indestructible E) unbreakable
Answer:",D
"Question: Where could you find a toilet that only friends can use?
Choices: A) rest area B) school C) stadium D) apartment E) hospital
Answer:",D
"Question: What is someone who isn't clever, bright, or competent called?
Choices: A) clumsy B) ineffectual C) dull D) clumsy E) stupid
Answer:",E
"Question: When wildlife reproduce we often refer to what comes out as what?
Choices: A) raise children B) have children C) photo copy D) offspring E) accidently got pregnant somehow
Answer:",D
"Question: The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?
Choices: A) forrest B) barn C) public office D) out of doors E) freezer
Answer:",B
"Question: Blue read material outside of his comfort zone because he wanted to gain what?
Choices: A) new perspective B) entertained C) understanding D) hunger E) tired eyes
Answer:",A
"Question: After he got hired he hoped for success at his what?
Choices: A) vocation B) new job C) michigan D) working hard E) manual
Answer:",B
"Question: Committing perjury is a serious what?
Choices: A) indictment B) crime C) violence D) lie E) go to jail
Answer:",B
"Question: If you are prone to postpone work what will you have to do in order to finish on time?
Choices: A) eat B) hasten C) antedate D) bring forward E) advance
Answer:",B
"Question: James wanted to find an old underground map from the 50s.  Where might he look for one?
Choices: A) library B) subway station C) county engineer's office D) super market E) home
Answer:",A
"Question: Sean was in a rush to get home, but the light turned yellow and he was forced to do what?
Choices: A) take time B) dawdle C) go slowly D) ocean E) slow down
Answer:",E
"Question: Where would a person be doing when having to wait their turn?
Choices: A) have patience B) get in line C) sing D) stand in line E) turn left
Answer:",D
"Question: She was always helping at the senior center, it brought her what?
Choices: A) satisfaction B) heart C) feel better D) pay E) happiness
Answer:",E
"Question: The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?
Choices: A) keep cloesd B) train C) ignition switch D) drawer E) firearm
Answer:",C
"Question: Who is a police officer likely to work for?
Choices: A) beat B) direct traffic C) city D) street E) president
Answer:",C
"Question: If you have leftover cake, where would you put it?
Choices: A) quandry B) refrigerator C) oven D) night stand E) bakery
Answer:",B
"Question: A human wants to submerge himself in water, what should he use?
Choices: A) whirlpool bath B) coffee cup C) cup D) soft drink E) puddle
Answer:",A
"Question: Where is a doormat likely to be in front of?
Choices: A) facade B) front door C) doorway D) entrance porch E) hallway
Answer:",B
"Question: Bob the lizard lives in a warm place with lots of water.  Where does he probably live?
Choices: A) rock B) tropical rainforest C) jazz club D) new mexico E) rocky places
Answer:",B
"Question: August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?
Choices: A) control people B) pay bills C) hurt people D) buy food E) get things
Answer:",B
"Question: He needed more information to fix it, so he consulted the what?
Choices: A) chickens B) google C) newspaper D) online E) manual
Answer:",E
"Question: Where can you put a picture frame when it's not hung vertically?
Choices: A) art show B) wall C) newspaper D) car E) table
Answer:",E
"Question: James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?
Choices: A) lose money B) fun C) have no money D) broken law E) relaxation
Answer:",D
"Question: What is the result of applying for  job?
Choices: A) anxiety and fear B) increased workload C) praise D) less sleep E) being employed
Answer:",E
"Question: What must someone do before they shop?
Choices: A) get money B) have money C) bring cash D) go to market E) bring cash
Answer:",A
"Question: Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?
Choices: A) music store B) obesity C) symphony orchestra D) ochestra E) violin case
Answer:",E
"Question: What is a place that usually does not have an elevator and that sometimes has a telephone book?
Choices: A) at hotel B) kitchen C) library D) telephone booth E) house
Answer:",E
"Question: Who is likely to be excited about a crab?
Choices: A) fish market B) pet shop C) fishmongers D) intertidal zone E) obesity
Answer:",C
"Question: Where can a human find clothes that aren't pants?
Choices: A) pants shop B) on planet earth C) dress shop D) school E) train wreck
Answer:",C
"Question: If I was getting drunk, and people couldn't understand me, what might I be having?
Choices: A) a seizure B) slurred speech C) death D) forgetfulness E) pass out
Answer:",B
"Question: When a person is beginning work, what are they building?
Choices: A) time B) accomplishing C) working D) momentum E) tiredness
Answer:",D
"Question: A child wants to play, what would they likely want?
Choices: A) fall down B) breathe C) play tag D) be dismembered by a chainsaw E) become adult
Answer:",C
"Question: Talking to the same person about the same thing over and over again is something someone can what?
Choices: A) social life B) friendship C) eye contact D) get tired of E) learn lessons from
Answer:",D
"Question: The teacher doesn't tolerate noise during a test in their what?
Choices: A) movie theatre B) bowling alley C) factory D) store E) classroom
Answer:",E
"Question: The freeway had no traffic and few buildings, where is it?
Choices: A) california B) countryside C) big town D) florida E) america
Answer:",B
"Question: Where would you go if you wanted to have fun with a few people?
Choices: A) watching television B) good C) cinema D) friend's house E) fairgrounds
Answer:",D
"Question: If there is a place that is hot and arid, what could it be?
Choices: A) bland B) lifeless C) sandy D) neutral E) freezing
Answer:",B
"Question: What is likely to satisfy someone's curiosity?
Choices: A) hear news B) read book C) see favorite show D) comedy show E) go somewhere
Answer:",A
"Question: If you are in a bar in a glove shaped state where are you?
Choices: A) in my pocket B) michigan C) new york city D) restaurant E) public house
Answer:",B
"Question: Where would a computer user be using their own computer?
Choices: A) hell B) school C) indoors D) internet cafe E) house
Answer:",E
"Question: Crabs live in what sort of environment?
Choices: A) maritime B) bodies of water C) saltwater D) galapagos E) fish market
Answer:",C
"Question: Where can you find a snake in tall grass?
Choices: A) tree B) in a jar C) pet shops D) feild E) tropical forest
Answer:",D
"Question: What is a place that has a bench nestled in trees?
Choices: A) state park B) bus stop C) bus depot D) statue E) train station
Answer:",A
"Question: Where is a human likely to go as a result of being hungry?
Choices: A) eat in restaurant B) make bread C) have lunch D) cook dinner E) friends house
Answer:",A
"Question: He was beginning to regret taking the fight when he saw how what his opponent was?
Choices: A) fun B) joy C) satisfaction D) confident E) pride
Answer:",D
"Question: Where would you find a single shower curtain being used?
Choices: A) bathtub B) washing area C) hotel D) shower stall E) department store
Answer:",A
"Question: Where is a good idea but not required to have a fire extinguisher?
Choices: A) school bus B) boat C) house D) hospital E) school
Answer:",C
"Question: What continent has the most castles?
Choices: A) fairy tale B) edinburgh C) germany D) europe E) antarctica
Answer:",D
"Question: If you have to read a book that is very dry and long you may become what?
Choices: A) have time B) boring C) learn new D) enjoyable E) bored
Answer:",E
"Question: Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?
Choices: A) desk B) windows 95 C) office supply store D) see work E) school
Answer:",E
"Question: The kids didn't clean up after they had done what?
Choices: A) learn things B) play games C) disneyland D) play with toys E) talking
Answer:",D
"Question: Despite the name a pawn can be quite versatile, all the parts are important in a what?
Choices: A) chess game B) scheme C) chess set D) checkers E) north carolina
Answer:",A
"Question: What would not be true about a basketball if it had a hole in it but it did not lose its general shape?
Choices: A) punctured B) popular in america C) full of air D) gone E) round
Answer:",C
"Question: If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?
Choices: A) irritability B) depression C) getting out of bed D) happiness E) discomfort
Answer:",B
"Question: Where does a wild bird usually live?
Choices: A) cage B) sky C) countryside D) desert E) windowsill
Answer:",C
"Question: Where would you expect to find white mice?
Choices: A) bell cat B) bush C) attic D) countryside E) laboratory
Answer:",E
"Question: John felt that his actions were fate.   Harry said that he could have always made a different what?
Choices: A) free will B) choice C) will D) alcohol E) freedom
Answer:",B
"Question: What could committing murder prevent someone from doing?
Choices: A) go to jail B) cry C) find god D) guilty conscience E) problems
Answer:",C
"Question: George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?
Choices: A) michigan B) walk C) stay still D) stink E) hands
Answer:",B
"Question: A crane uses many a steel cable when working a what?
Choices: A) abaft B) ship C) winch D) construction site E) building
Answer:",D
"Question: What is the main purpose of farmers?
Choices: A) raise cattle B) grow corn C) farm land D) drive tractors E) supply food
Answer:",E
"Question: Where can I put this penny to save for later?
Choices: A) piggy bank B) wallet C) toy D) ground E) pocket
Answer:",A
"Question: Where would you put uncooked crab meat?
Choices: A) wharf B) red lobster C) tidepools D) boss's office E) stew pot
Answer:",E
"Question: The man had a fear of illness, so he never visited friends who were a what?
Choices: A) sick person B) hospital C) elderly person D) graveyard E) doctor's office
Answer:",A
"Question: Where would you put pans if you want to bring them with you?
Choices: A) cooking B) cook food C) kitchen D) backpack E) drawer
Answer:",D
"Question: If you're remembering something, it's because of your what of it to begin with?
Choices: A) knowledge B) knowing C) forgetful D) pleasure E) depression
Answer:",B
"Question: Which large land mass is home to the most monkeys?
Choices: A) amazon basin B) friend's house C) lift number 3 D) research laboratory E) african continent
Answer:",E
"Question: Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?
Choices: A) rest B) insomnia C) making love D) sleeping in E) texting
Answer:",C
"Question: The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?
Choices: A) health B) fall down C) stagger D) get arrested E) vomit
Answer:",C
"Question: You'll find a landing at the top of what?
Choices: A) ocean B) apartment building C) stairwell D) airport E) room
Answer:",C
"Question: Anybody could be hired in the kitchen, what was needed of them?
Choices: A) forget B) oil squeaky hinge C) question authority D) wash dishes E) oik squeaky hinge
Answer:",D
"Question: Where can you find a number of wind instruments together in public?
Choices: A) music store B) create music C) zoo D) music room E) symphony
Answer:",E
"Question: A mountie got off at a subway stop.  What city might he be in?
Choices: A) urban area B) metropolis C) chicago D) new york city E) toronto
Answer:",E
"Question: What do you want someone to do when you illustrate point?
Choices: A) did not understand B) accepting C) make clear D) understood E) understanding
Answer:",E
"Question: Billy set aside a block of time for having fun after work. Why might he do this?
Choices: A) happiness B) stress relief C) pleasure D) ocean E) may laugh
Answer:",B
"Question: The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?
Choices: A) restless B) active C) lazybutt D) productive E) hard work
Answer:",D
"Question: What would you be unable to do if you have too much greed?
Choices: A) keep things B) make friends C) play poker D) conquer opponent E) lie
Answer:",B
"Question: It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?
Choices: A) bed away from home B) wwii bunker C) resort D) las vegas E) city
Answer:",E
"Question: I did not need a servant.  I was not a what?
Choices: A) freedom B) rich person C) hired help D) in charge E) busy
Answer:",B
"Question: How would you get from one side of a canal to another?
Choices: A) michigan B) amsterdam C) venice D) bridge E) barges to travel on
Answer:",D
"Question: When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions
Choices: A) newness B) loss of innocence C) enlightenment D) open mind E) smartness
Answer:",D
"Question: An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?
Choices: A) share files B) do arithmetic C) turn on D) cost money E) multitask
Answer:",E
"Question: Obstructing justice is sometimes an excuse used for police brutality which causes what in people?
Choices: A) committing perjury B) prosecution C) attack D) getting hurt E) riot
Answer:",D
"Question: While washing clothes they became what when caught on the sharp object?
Choices: A) damaged B) wet clothes C) wear out D) torn E) have fun
Answer:",D
"Question: Seafood restaurants are used to draw tourists where?
Choices: A) maine B) shoe shop C) city D) boston E) coastal cities
Answer:",E
"Question: James's nice asked him about her grandfather. She was interested in learning about what?
Choices: A) family tree B) family reunion C) babysitting D) brother's house E) heirlooms
Answer:",A
"Question: James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?
Choices: A) universe B) orbit C) night sky D) outer space E) his wallet
Answer:",A
"Question: What would encourage someone to continue playing tennis?
Choices: A) becoming tired B) tennis elbow C) exercise D) hunger E) victory
Answer:",E
"Question: James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?
Choices: A) deep breathing B) worried C) fall asleep D) invigorating E) feeling good
Answer:",C
"Question: What regions of a town would you have found a dime store?
Choices: A) commercial building B) old movie C) small neighborhood D) past E) mall
Answer:",C
"Question: Where might an unused chess set be stored?
Choices: A) toy store B) michigan C) living room D) attic E) cupboard
Answer:",E
"Question: james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?
Choices: A) wander B) migrate C) scare D) disturb E) agitate
Answer:",D
"Question: A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?
Choices: A) car B) house C) offices D) park E) movie theatre
Answer:",B
"Question: What could be playing a balailaika?
Choices: A) movie dr B) orchestra C) music store D) cat E) symphony
Answer:",B
"Question: Sailors drive many different types of boats, what type of boat involves their namesake.
Choices: A) coming home B) row boat C) board ship D) inflatable raft E) sail boat
Answer:",E
"Question: Where could a person avoid the rain?
Choices: A) bus stop B) tunnel C) synagogue D) fairy tale E) street corner
Answer:",C
"Question: Why would a person like to have a large house?
Choices: A) have choice B) mentally challenged C) own house D) obesity E) lots of space
Answer:",E
"Question: Where will a cheap book be found?
Choices: A) bookstore B) classroom C) discount store D) school room E) bedside table
Answer:",C
"Question: John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?
Choices: A) internet cafe B) sporting event C) pressing wrong buttons D) obesity E) hockey game
Answer:",B
"Question: James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?
Choices: A) accidental B) detestable C) effusive D) enabled E) apathetic
Answer:",C
"Question: Who do professors work with?
Choices: A) methods of facts B) teach courses C) wear wrinkled tweed jackets D) school students E) state facts
Answer:",D
"Question: Colorful anemone look somewhat like what object you find on window sills?
Choices: A) intertidal zone B) coral sea C) under water D) flower bed E) florida keys
Answer:",D
"Question: From where do aliens arrive?
Choices: A) outer space B) weekly world news C) roswell D) universe E) mars
Answer:",A
"Question: The hikers stopped to have a drink, simply put they what?
Choices: A) had a party B) were thirsty C) refreshment D) getting drunk E) celebrating
Answer:",B
"Question: When you get up in the morning before you begin work you should do what?
Choices: A) apply for job B) sleep C) concentrate D) shower E) just do
Answer:",D
"Question: The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?
Choices: A) living room B) floor C) warm place D) carpet E) farmhouse
Answer:",B
"Question: If a person is trying to keep something in their hand what should they do?
Choices: A) complete collection B) own house C) procrastinate D) explode E) have to hold
Answer:",E
"Question: Where could you find hundreds of thousands of home?
Choices: A) field B) neighborhood C) star can D) city or town E) apartment building
Answer:",D
"Question: Playing baseball is a lot like any other sport, there is always a risk of what?
Choices: A) sore muscles B) errors C) happiness D) injury E) fun
Answer:",D
"Question: If I want to watch a movie without leaving my home what might I use?
Choices: A) drive in movie B) drive in movie C) television D) video store E) show
Answer:",C
"Question: The victim was to take stand today, they were going to do what?
Choices: A) testify B) runaway C) witness D) tell truth E) go home
Answer:",A
"Question: What does a successful dog grooming session likely to make a owner feel?
Choices: A) cleanliness B) mistakes C) growth D) satisfaction E) late
Answer:",D
"Question: The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?
Choices: A) near finish line B) finish C) get tired D) gain ground E) trip over
Answer:",D
"Question: The tourist entered Mammoth cave, what state were they in?
Choices: A) west virginia B) kentucky C) rocky hills D) scotland E) canyon
Answer:",B
"Question: What does someone typically feel when applying for a job?
Choices: A) horror B) anxiety and fear C) rejection D) increased workload E) being employed
Answer:",B
"Question: He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?
Choices: A) prosecution B) getting hurt C) sweat D) steam E) committing perjury
Answer:",E
"Question: What kind of feelings does buying presents for others create?
Choices: A) tears B) please C) like D) thank E) make happy
Answer:",E
"Question: What green area is a marmot likely to be found in?
Choices: A) countryside B) great plains C) encyclopedia D) jungle E) north america
Answer:",A
"Question: Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?
Choices: A) later B) updated C) still D) resistance E) now
Answer:",D
"Question: What does a kindergarten teacher do before nap time?
Choices: A) lower expectations B) encourage C) fear D) time test E) tell story
Answer:",E
"Question: Sam was a stranger.  Even so, Mark treated him like what?
Choices: A) friend B) family C) known person D) park E) outsider
Answer:",B
"Question: Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?
Choices: A) closed room B) sky C) dard D) his grave E) house
Answer:",A
"Question: James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?
Choices: A) manual B) process information C) power down D) control model E) reason exists
Answer:",D
"Question: With the card slot lit up he knew how to get started finding his balance with what?
Choices: A) slot machine B) ticket machine C) bank machine D) telephone E) automated teller
Answer:",E
"Question: To play sports professionally you must do what very often?
Choices: A) wash your clothes B) get in shape C) practice D) take off uniform E) stretch
Answer:",C
"Question: Some people prefer releasing energy through work while others prefer to release it through what?
Choices: A) motion B) stretch C) exercise D) movement E) muscles
Answer:",C
"Question: What will a person going for a jog likely be wearing?
Choices: A) grope B) acknowledgment C) comfortable clothes D) ipod E) passionate kisses
Answer:",C
"Question: The child pretended he was reading newspaper, he couldn't actually do it without what?
Choices: A) patience B) falling down C) literacy D) buying E) knowing how to read
Answer:",E
"Question: Jenny enjoyed helping people.  It brought her a great deal of what?
Choices: A) satisfaction B) complications C) train D) feel good about yourself E) enjoyment
Answer:",A
"Question: What might someone believe in if they are cleaning clothes?
Choices: A) feminism B) sanitation C) ruined D) wrinkles E) buttons to fall off
Answer:",B
"Question: Where would you find a basement that can be accessed with an elevator?
Choices: A) eat cake B) closet C) church D) office building E) own house
Answer:",D
"Question: In order to learn to program from another person you can do what?
Choices: A) learn how to B) have a friend C) knowledge D) take class E) have computer
Answer:",D
"Question: He was at the gym trying to build muscle, what is it called that he is trying to build muscle on?
Choices: A) body of animal B) arm C) bodybuilder D) body of dog E) human body
Answer:",E
"Question: What part of plants is pretty?
Choices: A) dirt B) no neurons in C) millions of cells D) flowers on E) roots
Answer:",D
"Question: The man was going fishing instead of work, what is he seeking?
Choices: A) food B) relaxation C) killing D) missing morning cartoons E) boredom
Answer:",B
"Question: What could you get an unsmooth pit from?
Choices: A) backyard B) rock C) mine D) cherry E) peach
Answer:",E
"Question: The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?
Choices: A) initiate B) ignore C) question D) answer E) ask
Answer:",A
"Question: I couldn't find anybody who recalled the event, what were they adroit at doing?
Choices: A) question authority B) act fool C) wash dishes D) act innocent E) forget
Answer:",E
"Question: Where would you find a large dining room containing a fancy chandelier?
Choices: A) mansion B) every house C) own home D) table E) restaurant
Answer:",A
"Question: The extremely large cargo plane could only land at a specialized runway, these were only located at a what?
Choices: A) back yard B) bowling alley C) city D) military base E) fashion show
Answer:",D
"Question: The carpet was smelly and discouraged the league from playing there, where was this smelly carpet installed?
Choices: A) bedroom B) movie theater C) bowling alley D) church E) office
Answer:",C
"Question: How can someone be let into a brownstone?
Choices: A) brooklyn B) ring C) subdivision D) bricks E) new york city
Answer:",B
"Question: Where would someone purchase an upright piano?
Choices: A) music class B) college C) music store D) music room E) music band
Answer:",C
"Question: Where would you keep an ottoman near your front door?
Choices: A) living room B) parlor C) furniture store D) basement E) kitchen
Answer:",A
"Question: Diving into backyard pools can be very dangerous and can lead to serious head and what?
Choices: A) going somewhere B) splats C) cancer D) getting wet E) spinal injuries
Answer:",E
"Question: Where would one find a snake in a cage?
Choices: A) tropical forest B) oregon C) woods D) pet store E) louisiana
Answer:",D
"Question: Where are people likely to become impatient?
Choices: A) end of line B) buildings C) apartment D) neighbor's house E) address
Answer:",A
"Question: When you fail to finish something, you failed at doing what to it
Choices: A) winning B) passing C) completing D) do well E) succeeding
Answer:",C
"Question: John didn't care about style.  He felt that form was less important than what?
Choices: A) shapeless B) quality C) function D) change shape E) chaos
Answer:",C
"Question: When you get together with friends to watch film, you might do plenty of this?
Choices: A) see what happens B) enjoy stories C) pass time D) have fun E) interesting
Answer:",D
"Question: A supermarket is uncommon in what type of collection of shops?
Choices: A) strip mall B) city or town C) shoppingcentre D) boutique E) vermont
Answer:",A
"Question: Bill puts meat on the scale, where does Bill work?
Choices: A) music store B) assay office C) tidal wave D) butcher shop E) bathroom
Answer:",D
"Question: I'm having some food at my party, what will I need to serve it?
Choices: A) zoo B) pan C) bowl D) kitchen E) spoon
Answer:",E
"Question: Before racers start to run they must do what at the starting line?
Choices: A) learn to walk B) walking C) walk slowly D) breathe E) stand still
Answer:",E
"Question: What does an actor do when they are bored of their roles?
Choices: A) mask B) branch out C) wear costume D) pretend E) sing songs
Answer:",B
"Question: What is a person called who doesn't have immortality?
Choices: A) mortal B) dying C) death D) dead E) mortal
Answer:",E
"Question: Why would you be watching tv instead of doing something else?
Choices: A) headache B) laughter C) laziness D) erections E) wasting time
Answer:",C
"Question: If chewing food is difficult for you, what is a possible reason?
Choices: A) broken jaw B) sore mouth C) eating D) good digestion E) avoiding choking
Answer:",B
"Question: He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?
Choices: A) music store B) band C) medium D) orchestra E) piano store
Answer:",D
"Question: Where do you find the most amount of leafs?
Choices: A) floral arrangement B) ground C) forrest D) field E) compost pile
Answer:",C
"Question: Where can children play with animals?
Choices: A) meadow B) play room C) surface of earth D) zoos E) fairgrounds
Answer:",E
"Question: What kind of tale might feature a talking weasel?
Choices: A) mulberry bush B) animated film C) chicken coop D) history book E) children's story
Answer:",E
"Question: What kind of status is the bald eagle given?
Choices: A) outside B) world C) protection D) colorado E) america
Answer:",C
"Question: Why do most people take a quick rest during the day?
Choices: A) need to B) hungry C) feel more energetic D) weak E) regenerate
Answer:",C
"Question: What could suddenly stop someone when he or she is running?
Choices: A) mushroom B) falling down C) sweating D) exhaustion E) getting tired
Answer:",B
"Question: Where would you find a monkey in the wild?
Choices: A) zoo B) barrel C) research laboratory D) captivity E) thailand
Answer:",E
"Question: Where could a sloth live?
Choices: A) tropical jungle B) manual C) work D) transit E) countryside
Answer:",A
"Question: A gentleman is carrying equipment for golf, what is he likely to have?
Choices: A) club B) assembly hall C) meditation center D) meeting E) church
Answer:",A
"Question: If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?
Choices: A) lawn B) kids C) asshole D) spain E) office complex
Answer:",A
"Question: The computer was difficult for he to understand at the store, so what did she sign up for to learn more?
Choices: A) classroom B) facebook C) school D) apartment E) demonstration
Answer:",E
"Question: If you take the risk buying a used car, you still hope it can what?
Choices: A) go fast B) start running C) going too fast D) look good E) last several years
Answer:",E
"Question: Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?
Choices: A) eat B) think C) reading D) meditate E) fall asleep
Answer:",E
"Question: What is the primary purpose of cars?
Choices: A) cost money B) slow down C) move people D) turn right E) get girls
Answer:",C
"Question: Alabama is full of different people, but they are all citizens of what?
Choices: A) united states B) deep south C) floribama D) gulf states E) florabama
Answer:",A
"Question: They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?
Choices: A) set B) fall C) park D) descend E) reduce
Answer:",E
"Question: What do airplanes do as they are arriving at the gate?
Choices: A) slow down B) crash C) speed up D) land E) carry people
Answer:",A
"Question: If a person with mental illness stops treatment what will likely happen?
Choices: A) managed B) dancing C) recur D) effectively treated E) cause suffering
Answer:",C
"Question: The gimmicky low brow TV show was about animals when they what?
Choices: A) sick B) mammals C) males D) bite E) attack
Answer:",E
"Question: A loud machine is irritating, but many are expected where?
Choices: A) museum B) house C) laboratory D) library E) industrial area
Answer:",E
"Question: What part of a table would you put a ruler in?
Choices: A) drawer B) desk C) the backside D) office E) measure distance
Answer:",A
"Question: What happens if someone kisses too long?
Choices: A) strong feelings B) herpes C) shortness of breath D) excitement E) arousal
Answer:",C
"Question: If I have a modern light source in my living room, what is it likely to be?
Choices: A) sky B) house C) lamp D) match E) candle
Answer:",C
"Question: The person saw the mess his children made, what was his following reaction?
Choices: A) smell smoke B) cross street C) cry D) bank savings E) look angry
Answer:",E
"Question: Who might wear dark glasses indoors?
Choices: A) blind person B) glove box C) movie studio D) ray charles E) glove compartment
Answer:",A
"Question: Where would stones not be arranged in a path?
Choices: A) quarries B) field C) park D) bridge E) made from rocks
Answer:",B
"Question: A bald eagle is likely to be found on what kind of work?
Choices: A) rural area B) book C) canada D) painting E) aviary
Answer:",D
"Question: The hostess was good at her job, she always had a smile when she would what?
Choices: A) group people B) ready parlor for guests C) welcome guests D) work room E) park
Answer:",C
"Question: What is likely to happen to someone who is learning?
Choices: A) overconfidence B) effectiveness C) knowing more D) head grows larger E) growth
Answer:",C
"Question: The inspector was agreeing with the factory protocols, what was the status of the factory?
Choices: A) compliance B) eligible C) contract D) harmony E) friendship
Answer:",A
"Question: After standing up I had to sit right back down, why would I feel like this?
Choices: A) train B) effort C) balance D) feet E) muscles
Answer:",C
"Question: Where do you go on a night out before going to the bar?
Choices: A) new york city B) las vegas C) restaurant D) nightclub E) park
Answer:",C
"Question: The dad wanted to protect his house, where did he put his gun?
Choices: A) police station B) crime scene C) restroom D) drawer E) holster
Answer:",D
"Question: What instrument can be played with an air of happiness?
Choices: A) jump up and down B) jump up and down C) sing D) play games E) fiddle
Answer:",E
"Question: What to kids do for boredom on a ramp?
Choices: A) watch film B) fire game C) hang out at bar D) go skiing E) skateboard
Answer:",E
"Question: What animal has quills all over it?
Choices: A) feather B) chicken C) calligraphy D) porcupine E) hedgehog
Answer:",E
"Question: Why would you go to an office?
Choices: A) work B) school building C) paper D) city E) habit
Answer:",A
"Question: When is the worst time for having food?
Choices: A) digesting B) not hungry C) gas D) weight gain E) feeling of fullness
Answer:",B
"Question: If you spend all your time buying and not saving what is is likely to happen?
Choices: A) using money B) feel better C) ocean D) losing money E) go broke
Answer:",E
"Question: Though a mouse might prefer your house, you might also see him where?
Choices: A) tin B) department store C) garden D) small hole E) cupboard
Answer:",C
